,alpha,deltas,filename,filter,h,l,language,mean,optimization,s,trimmed_mean,variance,experiment,width,height,id
52,,"0    641459
1    691943
2    636599
3    635228
4    641217
dtype: float64",random1 200x200 (1600028624).bmp,blur,,,asm1,649289.2,0,,649289.2,576144405.2000122,random1,200,200,1600028624
53,,"0    671558
1    638604
2    660412
3    633076
4    635439
dtype: float64",random1 200x200 (620145550).bmp,blur,,,asm1,647817.8,0,,647817.8,294415109.2000122,random1,200,200,620145550
54,,"0     2239774
1     2206625
2     2160448
3     2157212
4    23969939
dtype: float64",fixed 368x368 (1264095060).bmp,blur,,,asm1,6546799.6,0,,6546799.6,94865482821567.3,fixed,368,368,1264095060
55,,"0    636556
1    636590
2    634950
3    638699
4    632145
dtype: float64",random1 200x200 (292218004).bmp,blur,,,asm1,635788.0,0,,635788.0,5920160.5,random1,200,200,292218004
56,,"0    1417737
1    1419886
2    1383511
3    1390315
4    1378755
dtype: float64",fixed 296x296 (2001100545).bmp,blur,,,asm1,1398040.8,0,,1398040.8,376974553.2001953,fixed,296,296,2001100545
57,,"0    650055
1    634734
2    648907
3    635561
4    693158
dtype: float64",random1 200x200 (749241873).bmp,blur,,,asm1,652483.0,0,,652483.0,568629917.5,random1,200,200,749241873
58,,"0     1797551
1    11622736
2      647640
3      635558
4      637664
dtype: float64",random1 200x200 (338888228).bmp,blur,,,asm1,3068229.8,0,,3068229.8,23119749528279.2,random1,200,200,338888228
59,,"0    545627
1    535288
2    584510
3    538090
4    538133
dtype: float64",fixed 184x184 (756898537).bmp,blur,,,asm1,548329.6,0,,548329.6,423807195.2999878,fixed,184,184,756898537
60,,"0    671243
1    670565
2    677162
3    668459
4    788101
dtype: float64",fixed 204x204 (1129566413).bmp,blur,,,asm1,695106.0,0,,695106.0,2712955805.0,fixed,204,204,1129566413
61,,"0    2115669
1    2121252
2    2204781
3    2495444
4    2213562
dtype: float64",fixed 364x364 (2053999932).bmp,blur,,,asm1,2230141.6,0,,2230141.6,24066081938.299805,fixed,364,364,2053999932
62,,"0    15079014
1      977092
2      989089
3      976662
4     1038991
dtype: float64",fixed 248x248 (2084420925).bmp,blur,,,asm1,3812169.6,0,,3812169.6,39669963675771.3,fixed,248,248,2084420925
63,,"0     631120
1     631226
2    1515088
3     634453
4     635320
dtype: float64",random2 200x200 (959798838).bmp,blur,,,asm1,809441.4,0,,809441.4,155608894164.80005,random2,200,200,959798838
64,,"0    635348
1    636935
2    612828
3    648523
4    634407
dtype: float64",random2 200x200 (25750299).bmp,blur,,,asm1,633608.2,0,,633608.2,167250138.7000122,random2,200,200,25750299
65,,"0    650311
1    651059
2    663431
3    647549
4    634383
dtype: float64",random2 200x200 (766480852).bmp,blur,,,asm1,649346.6,0,,649346.6,107343348.7999878,random2,200,200,766480852
66,,"0    633748
1    637508
2    634053
3    635467
4    637508
dtype: float64",random1 200x200 (1264095060).bmp,blur,,,asm1,635656.8,0,,635656.8,3276399.700012207,random1,200,200,1264095060
67,,"0    1115984
1    1099851
2    1099653
3    1100458
4    1485448
dtype: float64",fixed 264x264 (1159126505).bmp,blur,,,asm1,1180278.8,0,,1180278.8,29150643171.69995,fixed,264,264,1159126505
68,,"0    646749
1    631764
2    633396
3    636031
4    651267
dtype: float64",random1 200x200 (155324914).bmp,blur,,,asm1,639841.4,0,,639841.4,74891498.2999878,random1,200,200,155324914
69,,"0     643959
1     634984
2     639080
3    5466279
4     665077
dtype: float64",random2 200x200 (901471110).bmp,blur,,,asm1,1609875.8,0,,1609875.8,4647586046244.7,random2,200,200,901471110
70,,"0    347664
1    347389
2    352799
3    347905
4    347502
dtype: float64",fixed 148x148 (1059961393).bmp,blur,,,asm1,348651.8,0,,348651.8,5412357.700012207,fixed,148,148,1059961393
71,,"0    6067673
1     646605
2     636400
3     633980
4     637551
dtype: float64",random2 200x200 (954978700).bmp,blur,,,asm1,1724441.8,0,,1724441.8,5894915732754.7,random2,200,200,954978700
72,,"0    186058
1    184388
2    184950
3    183854
4    185444
dtype: float64",fixed 108x108 (278722862).bmp,blur,,,asm1,184938.8,0,,184938.8,747033.1999969482,fixed,108,108,278722862
73,,"0    633473
1    639630
2    635448
3    635002
4    631953
dtype: float64",random1 200x200 (1350490027).bmp,blur,,,asm1,635101.2,0,,635101.2,8300584.700012207,random1,200,200,1350490027
74,,"0    638116
1    653718
2    636819
3    632814
4    641471
dtype: float64",random1 200x200 (84353895).bmp,blur,,,asm1,640587.6,0,,640587.6,63481952.29998779,random1,200,200,84353895
75,,"0    5112172
1     631913
2     634877
3     631663
4     636504
dtype: float64",random1 200x200 (407487131).bmp,blur,,,asm1,1529425.8,0,,1529425.8,4011276125334.7,random1,200,200,407487131
76,,"0    1310713
1    1882225
2    1340059
3    1301068
4    1544195
dtype: float64",fixed 284x284 (1141616124).bmp,blur,,,asm1,1475652.0,0,,1475652.0,61517413901.0,fixed,284,284,1141616124
77,,"0    426074
1    425723
2    426322
3    440507
4    426880
dtype: float64",fixed 164x164 (1131176229).bmp,blur,,,asm1,429101.2,0,,429101.2,40831532.70001221,fixed,164,164,1131176229
78,,"0    5146041
1    1733220
2    1697324
3    1768240
4    1638372
dtype: float64",fixed 328x328 (356426808).bmp,blur,,,asm1,2396639.4,0,,2396639.4,2364557935719.8,fixed,328,328,356426808
79,,"0    33329
1    31754
2    31503
3    30972
4    31149
dtype: float64",fixed 44x44 (1025202362).bmp,blur,,,asm1,31741.4,0,,31741.4,880095.2999999523,fixed,44,44,1025202362
80,,"0     735370
1     634221
2     636214
3    2332495
4     632863
dtype: float64",random2 200x200 (250037052).bmp,blur,,,asm1,994232.6,0,,994232.6,561582438704.3,random2,200,200,250037052
