,alpha,filename,filter,h,l,language,mean,optimization,s,trimmed_mean,variance,experiment,width,height,id
101,,random1 200x200 (1176911340).bmp,blur,,,asm2,569003.6,0,,569003.6,64899821.7999878,random1,200,200,1176911340
102,,random2 200x200 (1556677371).bmp,blur,,,asm2,575715.6,0,,575715.6,81882778.2999878,random2,200,200,1556677371
103,,random2 200x200 (88885284).bmp,blur,,,asm2,1471314.4,0,,1471314.4,4034053632953.8,random2,200,200,88885284
104,,random2 200x200 (1427056614).bmp,blur,,,asm2,574299,0,,574299,70331883.5,random2,200,200,1427056614
105,,fixed 168x168 (1653377373).bmp,blur,,,asm2,414401.2,0,,414401.2,90074691.2000122,fixed,168,168,1653377373
106,,random2 200x200 (1258505823).bmp,blur,,,asm2,791927.2,0,,791927.2,252838904731.2,random2,200,200,1258505823
107,,random1 200x200 (1760243555).bmp,blur,,,asm2,570155.4,0,,570155.4,3031870.29998779,random1,200,200,1760243555
108,,random2 200x200 (13999837).bmp,blur,,,asm2,618979.2,0,,618979.2,11793013218.2,random2,200,200,13999837
109,,random1 200x200 (950390868).bmp,blur,,,asm2,579429,0,,579429,320600502,random1,200,200,950390868
110,,fixed 56x56 (1102520059).bmp,blur,,,asm2,45381,0,,45381,15906.5,fixed,56,56,1102520059
111,,fixed 128x128 (1801979802).bmp,blur,,,asm2,232094.8,0,,232094.8,12065433.6999969,fixed,128,128,1801979802
112,,random1 200x200 (2112255763).bmp,blur,,,asm2,1992694.6,0,,1992694.6,8400213474761.3,random1,200,200,2112255763
113,,fixed 236x236 (982906996).bmp,blur,,,asm2,803019,0,,803019,383101581,fixed,236,236,982906996
114,,random2 200x200 (279861221).bmp,blur,,,asm2,5841791.4,0,,5841791.4,138953150740951,random2,200,200,279861221
115,,random2 200x200 (211996288).bmp,blur,,,asm2,577777.8,0,,577777.8,245958444.700012,random2,200,200,211996288
116,,fixed 32x32 (1649760492).bmp,blur,,,asm2,20612.8,0,,20612.8,87516767.7,fixed,32,32,1649760492
117,,random1 200x200 (498777856).bmp,blur,,,asm2,578010,0,,578010,235737496,random1,200,200,498777856
118,,fixed 28x28 (719885386).bmp,blur,,,asm2,13135.6,0,,13135.6,201975.300000012,fixed,28,28,719885386
119,,random1 200x200 (760313750).bmp,blur,,,asm2,568303.6,0,,568303.6,79649333.7999878,random1,200,200,760313750
120,,random1 200x200 (184803526).bmp,blur,,,asm2,1623602.6,0,,1623602.6,5405729492383.3,random1,200,200,184803526
121,,random2 200x200 (369554448).bmp,blur,,,asm2,569478.4,0,,569478.4,120771615.299988,random2,200,200,369554448
122,,random2 200x200 (204557828).bmp,blur,,,asm2,582388,0,,582388,410859432.5,random2,200,200,204557828
123,,random2 200x200 (468736315).bmp,blur,,,asm2,2280943.2,0,,2280943.2,14391290156120.7,random2,200,200,468736315
124,,random1 200x200 (1876855542).bmp,blur,,,asm2,570762.2,0,,570762.2,2584814.20001221,random1,200,200,1876855542
125,,fixed 36x36 (596516649).bmp,blur,,,asm2,19820.8,0,,19820.8,54982.1999999881,fixed,36,36,596516649
126,,fixed 52x52 (783368690).bmp,blur,,,asm2,40060.2,0,,40060.2,41750.7000000477,fixed,52,52,783368690
127,,random2 200x200 (2124251098).bmp,blur,,,asm2,570281.6,0,,570281.6,3125134.29998779,random2,200,200,2124251098
128,,random2 200x200 (1904101559).bmp,blur,,,asm2,571239,0,,571239,2659261.5,random2,200,200,1904101559
129,,random1 200x200 (1784639529).bmp,blur,,,asm2,575466.2,0,,575466.2,111890635.700012,random1,200,200,1784639529
130,,random2 200x200 (1940591161).bmp,blur,,,asm2,568110,0,,568110,70678027.5,random2,200,200,1940591161
131,,random1 200x200 (1411154259).bmp,blur,,,asm2,657168.6,0,,657168.6,35891045297.3,random1,200,200,1411154259
132,,random2 200x200 (1054231799).bmp,blur,,,asm2,570808.6,0,,570808.6,2150970.29998779,random2,200,200,1054231799
133,,random2 200x200 (696556207).bmp,blur,,,asm2,570839.8,0,,570839.8,3834350.20001221,random2,200,200,696556207
134,,fixed 400x400 (1956297539).bmp,blur,,,asm2,3074822.6,0,,3074822.6,2641439527398.8,fixed,400,400,1956297539
135,,random2 200x200 (923192533).bmp,blur,,,asm2,571437.8,0,,571437.8,174862583.700012,random2,200,200,923192533
136,,fixed 356x356 (752392754).bmp,blur,,,asm2,1809033.6,0,,1809033.6,56307710.2998047,fixed,356,356,752392754
137,,random1 200x200 (1967681095).bmp,blur,,,asm2,2806040,0,,2806040,24730963518509.5,random1,200,200,1967681095
138,,random1 200x200 (1884167637).bmp,blur,,,asm2,571292.6,0,,571292.6,6040509.79998779,random1,200,200,1884167637
139,,random1 200x200 (1626276121).bmp,blur,,,asm2,600909.2,0,,600909.2,1739184886.70001,random1,200,200,1626276121
140,,fixed 156x156 (628175011).bmp,blur,,,asm2,504882.6,0,,504882.6,122936882430.8,fixed,156,156,628175011
141,,random2 200x200 (880121610).bmp,blur,,,asm2,574720.2,0,,574720.2,6002817.70001221,random2,200,200,880121610
142,,fixed 288x288 (84353895).bmp,blur,,,asm2,1574415.2,0,,1574415.2,622104868537.7,fixed,288,288,84353895
143,,fixed 12x12 (1681692777).bmp,blur,,,asm2,4974,0,,4974,522131.5,fixed,12,12,1681692777
144,,random2 200x200 (663282821).bmp,blur,,,asm2,574844,0,,574844,353440732.5,random2,200,200,663282821
145,,fixed 312x312 (1585990364).bmp,blur,,,asm2,1403059.2,0,,1403059.2,520009676.200195,fixed,312,312,1585990364
146,,fixed 228x228 (137806862).bmp,blur,,,asm2,742915.2,0,,742915.2,26155452.6999512,fixed,228,228,137806862
147,,random1 200x200 (1472713773).bmp,blur,,,asm2,590148.8,0,,590148.8,662705393.700012,random1,200,200,1472713773
148,,random2 200x200 (159286226).bmp,blur,,,asm2,580586,0,,580586,213900199.5,random2,200,200,159286226
