,alpha,delta,filename,filter,h,l,language,optimization,s,experiment,width,height
173,,1367240,fixed 300x300 (1998898814).bmp,blur,,,asm2,3,,fixed,300,300
174,,569398,random2 200x200 (105197541).bmp,blur,,,asm2,3,,random2,200,200
175,,601598,random2 200x200 (2116845032).bmp,blur,,,asm2,3,,random2,200,200
176,,1332977,fixed 292x292 (939819582).bmp,blur,,,asm2,3,,fixed,292,292
177,,3342,fixed 4x4 (1804289383).bmp,blur,,,asm2,3,,fixed,4,4
178,,589146,random1 200x200 (1947346619).bmp,blur,,,asm2,3,,random1,200,200
179,,572875,random1 200x200 (1057467587).bmp,blur,,,asm2,3,,random1,200,200
180,,564026,fixed 192x192 (1973594324).bmp,blur,,,asm2,3,,fixed,192,192
181,,2286366,fixed 376x376 (1843993368).bmp,blur,,,asm2,3,,fixed,376,376
182,,2008402,fixed 372x372 (1411549676).bmp,blur,,,asm2,3,,fixed,372,372
183,,569532,random1 200x200 (446340713).bmp,blur,,,asm2,3,,random1,200,200
184,,185991,fixed 112x112 (233665123).bmp,blur,,,asm2,3,,fixed,112,112
185,,583834,random1 200x200 (1973387981).bmp,blur,,,asm2,3,,random1,200,200
186,,557569,fixed 196x196 (149798315).bmp,blur,,,asm2,3,,fixed,196,196
187,,1754225,fixed 344x344 (709393584).bmp,blur,,,asm2,3,,fixed,344,344
188,,589094,random1 200x200 (1827336327).bmp,blur,,,asm2,3,,random1,200,200
189,,568925,random1 200x200 (1656478042).bmp,blur,,,asm2,3,,random1,200,200
190,,1638079,fixed 332x332 (945117276).bmp,blur,,,asm2,3,,fixed,332,332
191,,2255245,fixed 396x396 (1469348094).bmp,blur,,,asm2,3,,fixed,396,396
192,,618311,random2 200x200 (392228696).bmp,blur,,,asm2,3,,random2,200,200
193,,23811,fixed 40x40 (1189641421).bmp,blur,,,asm2,3,,fixed,40,40
194,,578785,random1 200x200 (968338082).bmp,blur,,,asm2,3,,random1,200,200
195,,375813,fixed 160x160 (1656478042).bmp,blur,,,asm2,3,,fixed,160,160
196,,579096,random1 200x200 (588219756).bmp,blur,,,asm2,3,,random1,200,200
197,,583788,random1 200x200 (680466996).bmp,blur,,,asm2,3,,random1,200,200
198,,570201,random1 200x200 (1572276965).bmp,blur,,,asm2,3,,random1,200,200
199,,1884465,fixed 360x360 (1474612399).bmp,blur,,,asm2,3,,fixed,360,360
200,,614989,random1 200x200 (1918502651).bmp,blur,,,asm2,3,,random1,200,200
201,,569282,random2 200x200 (223729824).bmp,blur,,,asm2,3,,random2,200,200
202,,1596050,fixed 336x336 (1889947178).bmp,blur,,,asm2,3,,fixed,336,336
203,,581373,random1 200x200 (1914544919).bmp,blur,,,asm2,3,,random1,200,200
204,,618805,random2 200x200 (827462710).bmp,blur,,,asm2,3,,random2,200,200
205,,573565,random2 200x200 (314227535).bmp,blur,,,asm2,3,,random2,200,200
206,,571572,random2 200x200 (861264076).bmp,blur,,,asm2,3,,random2,200,200
207,,3185473,fixed 384x384 (1984210012).bmp,blur,,,asm2,3,,fixed,384,384
208,,1000778,fixed 252x252 (1937477084).bmp,blur,,,asm2,3,,fixed,252,252
